"","state","county","Total Female Population","NAME","Total Population","Median Age","Total Male Population","White Alone","Black or African American Alone","Asian Alone","Hispanic or Latino Population","Median Household Income","Household Income Brackets","Per Capita Income","Population Below Poverty Level","Median Home Value","Median Gross Rent","Labor Force","Unemployed Population","Civilian Employed Population","Industry for Civilian Employed Population","High School Graduate or Equivalent","Bachelor's Degree","Master's Degree","Professional School Degree","Doctorate Degree","Total Housing Units","Occupied Housing Units","Vacant Housing Units","Owner-Occupied Housing Units","Renter-Occupied Housing Units","Total Workers","Workers Who Drive Alone","Workers Using Public Transport","Mean Travel Time to Work (Minutes)","Total Population for Health Insurance Coverage","Population with Public Health Insurance","Population with Private Health Insurance","Population with No Health Insurance","B01001_003E","B01001_004E","B01001_005E","B01001_006E","B01001_007E","B01001_008E","B01001_009E","B01001_010E","B01001_011E","B01001_012E","B01001_013E","B01001_014E","B01001_015E","B01001_016E","B01001_017E","B01001_018E","B01001_019E","B01001_020E","B01001_021E","B01001_022E","B01001_023E","B01001_024E","B01001_025E","B01001_027E","B01001_028E","B01001_029E","B01001_030E","B01001_031E","B01001_032E","B01001_033E","B01001_034E","B01001_035E","B01001_036E","B01001_037E","B01001_038E","B01001_039E","B01001_040E","B01001_041E","B01001_042E","B01001_043E","B01001_044E","B01001_045E","B01001_046E","B01001_047E","B01001_048E","B01001_049E"
"1","50","001",0.502866896018348,"Addison",37497,44,0.497133103981652,0.907672613809105,0.0106141824679308,0.0208283329333013,0.0315758594020855,88478,386,43524,2524,333700,1201,0.551617462730352,0.0208283329333013,796,46871,0.18462810358162,0.0525375363362402,0.176147425127344,0.0894738245726325,0.0166946689068459,17521,0.835454597340334,0.164545402659666,0.668226699389304,0.16722789795103,19425,0.678095238095238,0.00422136422136422,400970,37223,28,11,1767,738,1007,785,618,893,458,348,829,885,1028,1000,1083,1043,1207,1545,538,722,537,774,1175,563,422,443,764,813,791,552,1050,461,437,711,847,946,969,1096,1079,1196,1305,687,800,637,745,1169,859,489,453
"2","50","003",0.514070540308748,"Bennington",37312,46.6,0.485929459691252,0.926618782161235,0.010211192109777,0.00948756432246998,0.0274174528301887,71494,890,43214,4128,257400,1063,0.506378644939966,0.0208512006861063,1069,44229,0.172035806174957,0.0613743567753002,0.154963550600343,0.107740137221269,0.0220036449399657,20877,0.701058581213776,0.298941418786224,0.530440197346362,0.170618383867414,17744,0.722948602344454,0.00298692515779982,288100,36698,0,40,1635,854,982,1151,724,517,180,196,710,935,855,728,1124,938,1248,1169,606,1119,636,721,1141,696,284,617,798,760,1172,596,534,328,257,614,904,1034,1355,720,959,1296,1081,821,1182,553,853,1246,927,545,646
"3","50","005",0.494133114215283,"Caledonia",30425,45.6,0.505866885784717,0.933048479868529,0.00890714872637634,0.00295809367296631,0.0211339359079704,66075,371,38153,3727,215900,904,0.524765817584223,0.0136400986031224,1022,42103,0.22126540673788,0.0526211996713229,0.138142974527527,0.0697452752670501,0.0124239934264585,16084,0.800609301168863,0.199390698831137,0.625839343446904,0.17476995772196,15055,0.714911989372302,0.00166057788110262,315405,30172,21,25,1579,648,808,923,666,447,280,131,512,848,847,757,962,914,1090,1013,463,792,487,574,1074,601,326,228,636,688,837,553,321,230,162,421,791,843,1047,734,889,958,1071,556,747,448,714,1044,523,438,383
"4","50","007",0.508040584963662,"Chittenden",168831,37,0.491959415036338,0.871717871717872,0.0257417180494104,0.0387665772281157,0.0282708744247206,94310,2997,50552,16606,404500,1590,0.592284592284592,0.0218857911165603,3511,52860,0.103843488458873,0.0572229033767495,0.212905212905213,0.113154574693036,0.0253685638301023,74025,0.95161094224924,0.0483890577507599,0.604809186085782,0.346801756163458,94207,0.638731729064719,0.019807445306612,1682280,167554,215,248,10994,3761,4128,4491,2948,3759,2187,1916,4581,6582,5711,5826,5047,4610,4937,4984,2200,3175,1887,2601,3293,2015,1419,1000,3550,3826,4100,2620,4911,2308,2299,3756,6223,5465,5933,4722,4619,5162,5026,1822,4088,2278,2802,3575,2701,2262,1725
"5","50","009",0.496316141995981,"Essex",5972,51.4,0.503683858004019,0.94675150703282,0.000502344273275285,0.00987943737441393,0.0149028801071668,58985,99,34221,850,167500,915,0.46383121232418,0.025954454119223,324,41522,0.265740120562626,0.065974547890154,0.0962826523777629,0.0483924983255191,0.00753516409912927,4914,0.555352055352055,0.444647944647945,0.461945461945462,0.0934065934065934,2541,0.798504525777253,0,66175,5970,0,3,225,130,118,189,94,48,26,29,97,128,137,143,136,181,232,253,79,178,125,136,237,154,83,75,120,137,142,96,55,47,30,62,126,137,155,143,175,228,261,124,142,98,108,248,169,78,83
"6","50","011",0.501657436630342,"Franklin",50379,40.9,0.498342563369658,0.925961213997896,0.00273923658667302,0.00565711903769428,0.0193136028900931,79078,879,38447,5032,285500,1164,0.526608309017646,0.0146489608765557,1656,51612,0.23450247126779,0.0703864705532067,0.132396435022529,0.0533357152781913,0.00851545286726612,22850,0.857986870897155,0.142013129102845,0.669059080962801,0.188927789934354,25215,0.748681340471941,0.00150703946063851,584130,49784,13,35,2889,1404,1400,1774,1019,547,447,199,730,1537,1681,1616,1611,1626,1655,1868,863,1030,659,865,1133,553,464,425,1391,1535,1560,900,425,291,117,923,1540,1636,1689,1862,1461,1676,1614,933,1122,551,993,1239,711,467,637
"7","50","013",0.479101853104288,"Grand Isle",7393,48.7,0.520898146895712,0.91708372785067,0.00473420803462735,0.00378736642770188,0.020965778439064,90625,98,53254,559,363500,1436,0.539429189774111,0.0183957797916948,130,53323,0.20519410252942,0.073718382253483,0.198295685107534,0.0919788989584742,0.0193426213986203,5301,0.580645161290323,0.419354838709677,0.527824938690813,0.0528202225995095,3713,0.750875302989496,0.0045785079450579,102330,7382,0,8,378,153,208,191,194,79,31,10,128,181,247,197,197,198,251,290,149,296,65,253,270,146,54,63,164,208,124,25,97,3,22,84,193,204,177,282,207,255,383,85,212,164,183,205,97,85,83
"8","50","015",0.498962974343217,"Lamoille",26036,41.2,0.501037025656783,0.922799201106161,0.0113688738669534,0.00814257182362882,0.0246581656168382,69897,405,45885,2045,285200,1123,0.570172069442311,0.0204716546320479,904,44047,0.146988784759564,0.0531187586418805,0.199569826394223,0.0876094638193271,0.0181671531725303,14138,0.808035082755694,0.191964917244306,0.587706889234687,0.220328193521007,13950,0.736344086021505,0.00365591397849462,332330,25945,39,20,1457,565,818,738,488,336,96,206,435,796,881,832,990,839,897,785,469,550,292,352,777,431,300,172,669,676,811,472,298,96,125,512,792,866,1032,694,813,824,789,404,714,270,673,485,413,360,203
"9","50","017",0.499594512401162,"Orange",29594,46.9,0.500405487598838,0.937656281678719,0.00371696965601135,0.00584577954990876,0.0170980604176522,77328,418,41343,2727,251000,1145,0.551327971886193,0.0154761100223018,748,44289,0.208386835169291,0.0850510238561871,0.15043589916875,0.0869095086841927,0.0202743799418801,15021,0.851474602223554,0.148525397776446,0.693762066440317,0.157712535783237,15291,0.717153881368125,0.00326989732522399,338710,29508,14,130,1439,623,835,790,502,424,119,138,521,726,870,767,1014,891,954,1166,434,801,456,643,1034,564,355,182,627,645,816,488,297,91,201,396,794,827,749,1016,861,974,1301,469,715,458,726,970,658,423,283
"10","50","019",0.494471118870944,"Orleans",27492,45.4,0.505528881129056,0.944711188709443,0.00843881856540084,0.00738396624472574,0.018187108977157,66426,451,36459,2891,213300,897,0.515058926233086,0.0266986759784665,901,41850,0.235122944856686,0.0685290266259275,0.129201222173723,0.0609631892914302,0.0120034919249236,16630,0.709019843656043,0.290980156343957,0.566806975345761,0.142212868310283,13238,0.757742861459435,0.000604320894394924,312810,26819,7,28,1341,672,868,660,516,276,128,220,427,796,817,893,768,868,895,1044,409,584,400,558,943,652,301,203,622,830,681,496,227,189,137,353,724,755,694,847,760,889,1032,331,674,383,658,954,608,316,434
"11","50","021",0.499851200317439,"Rutland",60484,47.7,0.500148799682561,0.938512664506316,0.00681171880166656,0.00550558825474506,0.0211460882216785,64778,1123,38902,7068,218400,965,0.494990410687124,0.0204186231069374,2022,43675,0.219529131671186,0.0734078433966008,0.150138879703723,0.0752926393757027,0.0153594338998743,33974,0.749043386118797,0.250956613881203,0.5444163183611,0.204627067757697,28223,0.803635332884527,0.00814938170995287,581995,59901,16,40,3094,1226,1513,1622,1074,788,456,286,931,1667,1769,1770,1553,1661,2154,2242,1105,1529,898,1667,1842,1277,746,475,1242,1333,1625,974,776,336,247,991,1556,1592,1634,1585,1702,2000,2588,987,1470,960,1456,2066,1342,875,896
"12","50","023",0.501751225858101,"Washington",59958,43.7,0.498248774141899,0.932235898462257,0.00885619933953768,0.00770539377564295,0.0269188431902332,79853,730,45017,5456,293900,1094,0.543113512792288,0.0160779212115147,1244,50874,0.169635411454685,0.053437406184329,0.203092164515161,0.109042996764402,0.0212148503952767,30860,0.825469863901491,0.174530136098509,0.603078418664938,0.222391445236552,30895,0.702314290338242,0.00660301019582457,595645,59350,4,62,3127,1292,1693,1656,1016,1075,442,487,919,1550,1950,2010,1693,1769,2092,2195,733,1495,774,1268,1709,873,682,501,1225,1330,1749,994,713,303,323,829,1804,1776,1945,1902,1832,2027,2137,1015,1385,1061,1186,1709,1039,828,972
"13","50","025",0.504998584278962,"Windham",45913,47.3,0.495001415721038,0.917278330755995,0.00866856881493259,0.0123930041600418,0.030122187615708,68021,671,42142,5308,265100,1056,0.533530808267811,0.0229129004857012,1184,42070,0.185786160782349,0.0504650099100473,0.167120423409492,0.111558817764032,0.0202992616470281,30104,0.653069359553548,0.346930640446452,0.475219239968111,0.177850119585437,22626,0.704985415009281,0.0045964819234509,413185,45633,7,25,1974,984,895,1449,756,664,509,393,609,1186,1179,1311,1204,1142,1383,1625,800,1181,890,1120,1569,945,397,536,791,1081,1131,744,559,241,171,746,1115,1233,1541,1270,1283,1456,1972,840,1144,907,862,1793,1063,629,614
"14","50","027",0.507814656362131,"Windsor",57968,47.8,0.492185343637869,0.932583494341706,0.0057963014076732,0.0104540436102677,0.0223226607783605,75247,1008,47344,4981,267400,1089,0.517871929340326,0.0196832735302236,1465,49917,0.19048440518907,0.06538089980679,0.186999723985647,0.0942934032569694,0.0227194314104333,34773,0.715296350616858,0.284703649383142,0.5354154085066,0.179880942110258,28476,0.688193566512151,0.00818232897878916,565425,57170,17,60,2700,1269,1582,1448,983,642,217,230,939,1504,1595,1785,1605,1636,1790,2112,1127,1307,838,1397,1974,1363,682,506,1135,1284,1543,1066,440,234,144,922,1445,1616,1731,1855,1679,1813,2108,1234,1612,1076,1513,1872,1300,912,903
