Town,County,year2020,MAX,Latent Capacity
Shoreham,Addison,1260,2137,877
Bridport,Addison,1225,1774,549
Granville,Addison,301,830,529
Orwell,Addison,1239,1730,491
Goshen,Addison,172,621,449
Whiting,Addison,405,659,254
Hancock,Addison,359,548,189
Vergennes,Addison,2553,2741,188
New Haven,Addison,1683,1834,151
Starksboro,Addison,1756,1898,142
Ferrisburgh,Addison,2646,2775,129
Bristol,Addison,3782,3894,112
Leicester,Addison,990,1100,110
Cornwall,Addison,1207,1279,72
Lincoln,Addison,1323,1368,45
Waltham,Addison,446,486,40
Panton,Addison,646,682,36
Weybridge,Addison,814,850,36
Addison,Addison,1365,1393,28
Middlebury,Addison,9152,9152,0
Monkton,Addison,2079,2079,0
Ripton,Addison,739,739,0
Salisbury,Addison,1221,1221,0
Bennington,Bennington,15333,16451,1118
Rupert,Bennington,698,1630,932
Sandgate,Bennington,387,1187,800
Readsboro,Bennington,702,1252,550
Pownal,Bennington,3258,3560,302
Glastenbury,Bennington,9,241,232
Landgrove,Bennington,177,385,208
Shaftsbury,Bennington,3598,3767,169
Searsburg,Bennington,126,262,136
Woodford,Bennington,355,487,132
Dorset,Bennington,2133,2195,62
Peru,Bennington,531,578,47
Arlington,Bennington,2457,2457,0
Manchester,Bennington,4484,4484,0
Stamford,Bennington,861,861,0
Sunderland,Bennington,1056,1056,0
Winhall,Bennington,1182,1182,0
St. Johnsbury,Caledonia,7364,9696,2332
Barnet,Caledonia,1663,2604,941
Peacham,Caledonia,715,1443,728
Lyndon,Caledonia,5491,5981,490
Ryegate,Caledonia,1165,1606,441
Danville,Caledonia,2335,2633,298
Hardwick,Caledonia,2920,3201,281
Wheelock,Caledonia,759,963,204
Sheffield,Caledonia,682,884,202
Sutton,Caledonia,913,1068,155
Waterford,Caledonia,1268,1412,144
Burke,Caledonia,1651,1753,102
Newark,Caledonia,584,679,95
Groton,Caledonia,984,1059,75
Walden,Caledonia,956,1001,45
Stannard,Caledonia,208,252,44
Kirby,Caledonia,575,575,0
Westford,Chittenden,2062,2086,24
Buels Gore,Chittenden,29,35,6
Huntington,Chittenden,1934,1938,4
Bolton,Chittenden,1301,1301,0
Burlington,Chittenden,44743,44743,0
Charlotte,Chittenden,3912,3912,0
Colchester,Chittenden,17524,17524,0
Essex,Chittenden,22094,22094,0
Hinesburg,Chittenden,4698,4698,0
Jericho,Chittenden,5104,5104,0
Milton,Chittenden,10723,10723,0
Richmond,Chittenden,4167,4167,0
Shelburne,Chittenden,7717,7717,0
South Burlington,Chittenden,20292,20292,0
St. George,Chittenden,794,794,0
Underhill,Chittenden,3129,3129,0
Williston,Chittenden,10103,10103,0
Winooski,Chittenden,7997,7997,0
Brighton,Essex,1157,2280,1123
Norton,Essex,153,960,807
Bloomfield,Essex,217,827,610
Maidstone,Essex,211,714,503
Victory,Essex,70,554,484
Concord,Essex,1141,1612,471
Canaan,Essex,896,1196,300
Guildhall,Essex,262,558,296
Granby,Essex,81,361,280
Ferdinand,Essex,16,213,197
Lunenburg,Essex,1246,1400,154
Lemington,Essex,87,227,140
Brunswick,Essex,88,221,133
East Haven,Essex,270,301,31
Averill,Essex,21,48,27
Averys Gore,Essex,0,0,0
Lewis,Essex,2,2,0
Warners Grant,Essex,0,0,0
St. Albans City,Franklin,6877,8806,1929
St. Albans Town,Franklin,6988,6988,0
Montgomery,Franklin,1184,1876,692
Richford,Franklin,2346,2907,561
Fairfield,Franklin,2044,2591,547
Franklin,Franklin,1363,1781,418
Berkshire,Franklin,1547,1955,408
Bakersfield,Franklin,1273,1523,250
Highgate,Franklin,3472,3535,63
Sheldon,Franklin,2136,2190,54
Enosburgh,Franklin,2810,2810,0
Fairfax,Franklin,5014,5014,0
Fletcher,Franklin,1346,1346,0
Georgia,Franklin,4845,4845,0
Swanton,Franklin,6701,6701,0
Isle La Motte,Grand Isle,488,623,135
South Hero,Grand Isle,1674,1696,22
Alburgh,Grand Isle,2106,2106,0
Grand Isle,Grand Isle,2086,2086,0
North Hero,Grand Isle,939,939,0
Belvidere,Lamoille,358,571,213
Waterville,Lamoille,686,753,67
Wolcott,Lamoille,1670,1676,6
Cambridge,Lamoille,3839,3839,0
Eden,Lamoille,1338,1338,0
Elmore,Lamoille,886,886,0
Hyde Park,Lamoille,3020,3020,0
Johnson,Lamoille,3491,3491,0
Morristown,Lamoille,5434,5434,0
Stowe,Lamoille,5223,5223,0
Vershire,Orange,672,1875,1203
Strafford,Orange,1094,1935,841
Chelsea,Orange,1233,1959,726
Newbury,Orange,2293,2984,691
Tunbridge,Orange,1337,2003,666
Topsham,Orange,1199,1745,546
Brookfield,Orange,1244,1789,545
West Fairlee,Orange,621,1143,522
Corinth,Orange,1455,1970,515
Washington,Orange,1032,1374,342
Fairlee,Orange,988,1143,155
Randolph,Orange,4774,4853,79
Braintree,Orange,1207,1246,39
Orange,Orange,1048,1072,24
Bradford,Orange,2790,2797,7
Thetford,Orange,2775,2775,0
Williamstown,Orange,3515,3515,0
Newport Town,Orleans,1526,3047,68
Newport City,Orleans,4455,5217,762
Barton,Orleans,2872,3506,634
Lowell,Orleans,887,1178,291
Holland,Orleans,632,913,281
Charleston,Orleans,1021,1278,257
Greensboro,Orleans,811,1065,254
Albany,Orleans,976,1224,248
Westfield,Orleans,534,763,229
Troy,Orleans,1722,1869,147
Jay,Orleans,551,696,145
Glover,Orleans,1114,1244,130
Westmore,Orleans,357,480,123
Morgan,Orleans,638,749,111
Craftsbury,Orleans,1343,1413,70
Derby,Orleans,4579,4621,42
Brownington,Orleans,1042,1042,0
Coventry,Orleans,1100,1100,0
Irasburg,Orleans,1233,1233,0
Rutland,Rutland,3924,4054,130
Rutland City,Rutland,15807,19293,3486
West Rutland,Rutland,2214,3680,1466
Proctor,Rutland,1763,2871,1108
Pawlet,Rutland,1424,2233,809
Poultney,Rutland,3020,3644,624
Benson,Rutland,974,1561,587
West Haven,Rutland,239,774,535
Tinmouth,Rutland,553,1069,516
Danby,Rutland,1284,1730,446
Clarendon,Rutland,2412,2835,423
Middletown Springs,Rutland,794,1207,413
Fair Haven,Rutland,2736,3095,359
Mount Tabor,Rutland,210,495,285
Pittsford,Rutland,2862,3140,278
Sudbury,Rutland,545,812,267
Castleton,Rutland,4458,4717,259
Mount Holly,Rutland,1385,1582,197
Shrewsbury,Rutland,1096,1289,193
Ira,Rutland,368,519,151
Wallingford,Rutland,2129,2274,145
Hubbardton,Rutland,735,865,130
Pittsfield,Rutland,504,615,111
Brandon,Rutland,4129,4223,94
Chittenden,Rutland,1237,1258,21
Killington,Rutland,1407,1407,0
Mendon,Rutland,1149,1149,0
Wells,Rutland,1214,1214,0
Barre City,Washington,8491,11307,2816
Montpelier,Washington,8074,8782,708
Roxbury,Washington,678,1060,382
Northfield,Washington,5918,6207,289
Woodbury,Washington,928,1092,164
Plainfield,Washington,1236,1399,163
Calais,Washington,1661,1709,48
Berlin,Washington,2849,2887,38
Worcester,Washington,964,998,34
Warren Gore,Washington,2,10,8
Marshfield,Washington,1583,1588,5
Barre Town,Washington,7923,7924,1
Cabot,Washington,1443,1443,0
Duxbury,Washington,1413,1413,0
East Montpelier,Washington,2598,2598,0
Fayston,Washington,1364,1364,0
Middlesex,Washington,1779,1779,0
Moretown,Washington,1753,1753,0
Waitsfield,Washington,1844,1844,0
Warren,Washington,1977,1977,0
Waterbury,Washington,5331,5331,0
Rockingham,Windham,4832,6231,1399
Wardsboro,Windham,869,2053,1184
Halifax,Windham,771,1758,987
Grafton,Windham,645,1482,837
Jamaica,Windham,1005,1606,601
Windham,Windham,449,931,482
Somerset,Windham,6,321,315
Guilford,Windham,2120,2422,302
Westminster,Windham,3016,3210,194
Whitingham,Windham,1344,1477,133
Athens,Windham,380,507,127
Townshend,Windham,1291,1406,115
Putney,Windham,2617,2702,85
Newfane,Windham,1645,1726,81
Brattleboro,Windham,12184,12241,57
Dummerston,Windham,1865,1915,50
Vernon,Windham,2192,2206,14
Brookline,Windham,540,540,0
Dover,Windham,1798,1798,0
Londonderry,Windham,1919,1919,0
Marlboro,Windham,1722,1722,0
Stratton,Windham,440,440,0
Wilmington,Windham,2255,2255,0
Springfield,Windsor,9062,10190,1128
Reading,Windsor,687,1803,1116
Pomfret,Windsor,916,1867,951
Windsor,Windsor,3559,4468,909
Barnard,Windsor,992,1889,897
Plymouth,Windsor,641,1417,776
Stockbridge,Windsor,718,1418,700
Rochester,Windsor,1099,1607,508
Bridgewater,Windsor,903,1363,460
Andover,Windsor,568,1016,448
Cavendish,Windsor,1392,1823,431
Weston,Windsor,623,1032,409
Woodstock,Windsor,3005,3315,310
Ludlow,Windsor,2172,2463,291
Chester,Windsor,3005,3154,149
Bethel,Windsor,1942,2030,88
Royalton,Windsor,2750,2773,23
Baltimore,Windsor,229,250,21
Hartford,Windsor,10686,10686,0
Hartland,Windsor,3446,3446,0
Norwich,Windsor,3612,3612,0
Sharon,Windsor,1560,1560,0
Weathersfield,Windsor,2842,2842,0
West Windsor,Windsor,1344,1344,0